halId_s;docType_s;title_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;conferenceTitle_s;fr_keyword_s;labStructAcronym_s
hal-01508392;COMM;High variety impacts on Master Production Schedule: a case study from the automotive industry;Clément Chatras,Vincent Giard,Mustapha Sali;2015-05;0.info;;INCOM 2015, 15ième IFAC/IEEE/IFIP/IFORS Symposium;Master production schedule,Alternative services,Generic Bill of Materials,Planning Bill of Materials,Mass customization,Forecast,Automotive industry;LAMSADE,DRM
hal-01658459;COMM;Reasons and Means to Model Preferences as Incomplete;Olivier Cailloux,Sébastien Destercke;2017;0.info,1.info.info-ro,0.info,1.info.info-ai,0.info,1.info.info-ma;;11th International Conference on Scalable Uncertainty Management;;LAMSADE,Labex MS2T,Heudiasyc
hal-02308114;COMM;Optimization issues in phenotyping plateforms;Marian Brestic,André Rossi,Oksana Sytar,Marek Zivcak;2019;0.info;;20ème congrès annuel de la société Française de Recherche Opérationnelle et d’Aide à la Décision (ROADEF 2019);;LAMSADE
hal-01783588;COMM;Deep Learning for Metagenomic Data: using 2D Embeddings and Convolutional Neural Networks;Nguyen Thanh Hai,Yann Chevaleyre,Edi Prifti,Nataliya Sokolovska,Jean-Daniel Zucker;08/12/2017;0.info,1.info.info-bi,0.info,1.info.info-lg;;NIPS 2017 Workshop on Machine Learning for Health;;ICAN,LAMSADE
hal-01396183;ART;On the Existence of approximative Equilibria and Sharing Rule Solutions in Discontinuous Games;Philippe Bich,Rida Laraki;30/01/2017;0.shs,1.shs.eco;Theoretical Economics;;;CES,LAMSADE
hal-01646207;COMM;Knowledge-Based Policies for Qualitative Decentralized POMDPs;Abdallah Saffidine,François Schwarzentruber,Bruno Zanuttini;02/02/2018;0.info,1.info.info-ai;;32nd AAAI Conference on Artificial Intelligence;;LAMSADE,GREYC
hal-01715892;ART;Almost disjoint spanning trees: Relaxing the conditions for completely independent spanning trees;Benoit Darties,Nicolas Gastineau,Olivier Togni;2018;0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ni;Discrete Applied Mathematics;;;Le2i,LAMSADE
hal-01917762;ART;Flow-Aware Workload Migration in Data Centers;Yoann Desmouceaux,Sónia Toubaline,Thomas Clausen;2018;0.info,1.info.info-dc;Journal of Network and Systems Management;;Pareto optimality,Multi-objective optimization,MILP,Application-aware allocation,Data center networking,VM migration;LIX,LAMSADE
hal-01404913;COMM;Une approche de réduction de dimensionnalité pour l'agrégation de préférences qualitatives;Quentin Brabant,Miguel Couceiro,Fabien Labernia,Amedeo Napoli;2016;0.info;;16ème Journées Francophones Extraction et Gestion des Connaissances, EGC 2016;;LORIA,LAMSADE
hal-01369877;COMM;Can a Condorcet Rule Have a Low Coalitional Manipulability?;François Durand,Fabien Mathieu,Ludovic Noirie;2016;0.info,1.info.info-gt,0.info,1.info.info-ma;;European Conference on Artificial Intelligence (ECAI);;LAMSADE,LINCS
hal-02075335;COMM;Designing RNA Secondary Structures Is Hard;Edouard Bonnet,Pawel Rzążewski,Florian Sikora;2018;0.info;;RECOMB 2018;Probabilistic models,Probability,Problem solving;LAMSADE
hal-02075097;COMM;Parameterized Orientable Deletion;Tesshu Hanaka,Ioannis Katsikarelis,Michael Lampis,Yota Otachi,Florian Sikora;2018;0.info;;SWAT 2018;Graph orientations,FPT algorithms,Treewidth,SETH;LAMSADE
hal-02074964;COMM;Covering with Clubs: Complexity and Approximability;Riccardo Dondi,Giancarlo Mauri,Florian Sikora,Italo Zoppis;2018;0.info;;29th International Workshop on Combinatorial Algorithms (IWOCA 2018);Approximation algorithms,Combinatorial optimization,Graph algorithms;LAMSADE
hal-01710089;COUV;Riemannian classification for SSVEP based BCI: offline versus online implementations;Sylvain Chevallier,Emmanuel Kalunga,Quentin Barthélemy,Florian Yger;24/01/2018;0.info,1.info.info-lg,0.info,1.info.info-ts,0.info,1.info.info-hc;;;;LISV,LAMSADE
